Segment,Target Type,Name/Description,Platform,Followers/Reach,Why Target,Outreach Channel,Priority
YouTube Creators (Tech),Individual,"Tech YouTubers who review AI tools (MKBHD, Ali Abdaal, Matt Wolfe types)",YouTube,100K-10M,"Already covering AI tools, built-in audience of early adopters",Twitter DM / Email,High
YouTube Creators (Productivity),Individual,"Productivity YouTubers (Thomas Frank, Jeff Su, Mike Shake types)",YouTube,100K-5M,"Their audience wants AI productivity tools, perfect demo content",Twitter DM / Email,High
Twitter/X AI Builders,Individual,"AI builders and indie hackers who post about tools daily",Twitter/X,10K-500K,"Highly engaged, will share publicly, connected to tech community",Twitter DM / Quote Tweet,High
Newsletter Writers,Individual,"Solo newsletter creators using Substack/Beehiiv/ConvertKit",Multiple,5K-100K subscribers,"Writing-heavy workflow that Agentsy directly improves",Cold Email / Twitter DM,High
Podcast Hosts,Individual,"Independent podcast creators (research-heavy workflow)",Spotify/Apple,10K-500K listeners,"Need research, show notes, content repurposing — all Agentsy strengths",Cold Email,Medium
TikTok Creators (Education),Individual,"EduTok creators covering productivity/tech/business",TikTok,50K-5M,"Younger demographic, mobile-first matches WhatsApp-native",TikTok Comment / Instagram DM,Medium
Instagram Creators (Business),Individual,"Business/coaching creators on Instagram",Instagram,50K-1M,"Pay for multiple tools, value efficiency, have budget",Instagram DM / Email,Medium
Indie Hackers,Community,"IndieHackers.com community, builders who want AI leverage",IndieHackers,N/A (community),"Highly technical, early adopters, will give detailed feedback",Forum Post / Direct Message,High
Product Hunt,Platform,"Launch on Product Hunt for initial visibility",ProductHunt,N/A (platform),"One-day visibility spike, attracts early adopters and press",Product Launch,High
Hacker News,Platform,"Show HN post demonstrating the agent",HackerNews,N/A (platform),"Technical audience, high-quality feedback, viral potential",Show HN Post,High
SF Creator Meetups,Offline,"SF-based creator meetups and co-working events",In-Person,50-200 per event,"Face-to-face demos, immediate trust, local network effects",Attend + Demo,High
Creator Economy Conferences,Offline,"VidCon, Podcast Movement, CreatorConf",In-Person,5K-50K attendees,"Concentrated creator audience, demo opportunities",Booth / Talk / Networking,Medium
YouTube Creators (Finance),Individual,"Finance/investing YouTubers needing research",YouTube,100K-2M,"Research-heavy workflow, high-value audience, have budget",Email / Twitter DM,Medium
Twitch Streamers,Individual,"Mid-tier Twitch streamers managing content across platforms",Twitch,5K-100K,"Multi-platform management pain, need content repurposing",Discord DM / Twitter,Low
Freelance Writers,Individual,"Freelance copywriters and content strategists",Upwork/LinkedIn,N/A,"Professional writers who'd pay for AI that knows their style",LinkedIn / Cold Email,Medium
Course Creators,Individual,"Online course creators (Teachable/Kajabi/Gumroad)",Multiple,5K-100K,"Complex workflows: research, writing, marketing, student management",Email / Twitter DM,High
AI Tool Reviewers,Individual,"People who specifically review and compare AI tools",YouTube/Twitter,10K-500K,"Will create content about Agentsy, built-in distribution",Free Access + Twitter DM,High
Micro-Influencers (5K-50K),Segment,"Micro-influencers across niches who do everything themselves",Multiple,5K-50K,"Most underserved — no team, need help most, willing to pay for leverage",Batch DM / Email Campaign,Medium
SF Startup Community,Offline,"YC founders, startup weekends, demo days",In-Person,Varies,"High-value network, potential investors, power users",Networking / Warm Intros,High
Discord Communities,Online,"Creator-focused Discord servers (Creator Economy, AI Tools)",Discord,1K-50K members,"Engaged communities, easy to demo and get feedback",Community Posts / DMs,Medium
